Local_N,Local_E,Local_Z,Note
4620372.0460,386767.6479,1.5753,TARGET19
4620385.6850,386573.8384,1.7186,TARGET33
4620596.0150,386337.3545,1.6870,T32
4620602.0220,386196.3906,1.6093,T31
4620616.8970,385945.6811,1.6698,T30
4620640.1320,386751.1992,1.6393,TARGET9
4620670.7720,386527.3455,1.6226,TARGET18
4620733.7600,385689.5885,1.6204,T29
4620787.3060,386320.0656,1.5839,TARGET17
4620793.6290,386656.2855,1.4609,TARGET11
4620798.4330,386106.5043,1.6315,T21
4620806.5000,385286.6981,1.6320,T27
4620856.3580,385941.8171,1.4494,T22
4620868.9460,385558.9692,1.5075,T23
4620916.9940,385739.4727,1.5344,T28
4620935.7740,386858.9192,1.4908,TARGET13
4621009.3920,385142.0927,1.4518,T26
4621018.6390,386619.5787,1.4216,TARGET20
4621023.6830,386310.8492,1.6486,G2
4621042.4740,386166.1664,1.5388,P5
4621045.2350,384930.7924,1.4434,T25
4621056.2290,385776.8769,1.5630,P4
4621075.3240,385450.5585,1.6220,P2
4621075.9020,385982.5089,2.4071,G1
4621150.4860,385164.5991,1.5575,P6
4621200.4600,386169.3744,10.2482,T5
4621200.4870,386169.3930,10.2339,T5
4621200.5670,386169.4068,10.2389,LASTONE=T5
4621209.4250,384946.6988,1.4630,P1
4621284.5050,386001.1224,7.7547,T1
4621284.5160,386001.1172,7.7577,T1
4621284.5340,386001.1426,7.7760,T1
4621317.3280,386314.7072,6.2573,T8
4621317.3430,386314.7052,6.2556,T8
4621317.3450,386314.7040,6.2363,T8
4621468.7420,386152.2287,9.1033,T6
4621468.7830,386152.2313,9.1103,T6
4621468.7840,386152.2463,9.1236,T6
4621516.3800,386215.4180,4.4769,DISCO
4621528.3000,386360.8506,2.6843,G4
4621528.3130,386360.8259,2.6960,GLITTER-EAST
4621594.0660,385924.8701,3.2883,G3
4621594.0860,385924.8512,3.2540,GLITTER-WEST
